run_id,seed,n_examples,train_frac,intercept,k_policy,K,target,t_gen,t_rect_base,t_rect_rule,t_raw_base,auc_tr_rect_base,j_tr_rect_base,f1max_tr_rect_base,auc_tr_rect_rule,j_tr_rect_rule,f1max_tr_rect_rule,auc_tr_raw,auc_te_rect_base,j_te_rect_base,f1max_te_rect_base,auc_te_rect_rule,j_te_rect_rule,f1max_te_rect_rule,auc_te_raw,adopted,k_chosen,k_first_min,k_rect_base,k_rect_rule,J_chosen_train,J0_train,policy_trained,K_used
leukemia_all_indc_seed1347_N1000_tr50_mofk_global_K10.0_TNA,1347,1000,0.5,mofk,global,10.0,,0.1420487999857869,31.908517299976666,0.1265492000093218,1.8640531999990344,1.0,1.0,0.9999999995,1.0,1.0,0.9999999995,0.5,0.5178893178893179,0.01235521235521242,0.5409356721199898,0.5178893178893179,0.01235521235521242,0.5409356721199898,0.5,False,11,15,999,999,0.3770491803278688,1.0,global,10.0
leukemia_all_indc_seed1347_N1000_tr50_mofk_global_K10.0_TNA__sklearn_extcv,1347,1000,0.5,,,,,0.1420487999857869,54.277636899991194,,27.191970699990634,1.0,0.980327868852459,,,,,0.5,0.4941999141999142,-0.013813813813813747,,,,,0.5,,,,,,,,sklearn_extcv,
leukemia_all_indc_seed2356_N1000_tr50_mofk_global_K10.0_TNA,2356,1000,0.5,mofk,global,10.0,,0.13858550001168624,31.10514620001777,0.108455799985677,1.8175094999896828,1.0,1.0,0.9999999995,1.0,1.0,0.9999999995,0.5,0.5067635606874329,-0.03269334049409234,0.5664233572557131,0.5067635606874329,-0.03269334049409234,0.5664233572557131,0.5,False,5,9,997,997,0.1518987341772151,1.0,global,10.0
leukemia_all_indc_seed2356_N1000_tr50_mofk_global_K10.0_TNA__sklearn_extcv,2356,1000,0.5,,,,,0.13858550001168624,89.49136129999533,,31.11370009998791,0.9985639102916896,0.971518987341772,,,,,0.7737169785360485,0.5027524167561761,-0.030142320085929097,,,,,0.52468783566058,,,,,,,,sklearn_extcv,
leukemia_all_indc_seed8542_N1000_tr50_mofk_global_K10.0_TNA,8542,1000,0.5,mofk,global,10.0,,0.14488649999839254,32.14880220001214,0.1095449999847915,2.109371900005499,1.0,1.0,0.9999999995,1.0,1.0,0.9999999995,0.5,0.4822703414288366,-0.02136672798771333,0.557329462586538,0.4822703414288366,-0.02136672798771333,0.557329462586538,0.5,False,19,23,1000,1000,0.5878594249201279,1.0,global,10.0
leukemia_all_indc_seed8542_N1000_tr50_mofk_global_K10.0_TNA__sklearn_extcv,8542,1000,0.5,,,,,0.14488649999839254,54.7937738999899,,31.087609899987,1.0,0.9968051118210863,,,,,0.5,0.466025889858399,-0.06695245649862447,,,,,0.5,,,,,,,,sklearn_extcv,
leukemia_all_indc_seed9675_N1000_tr50_mofk_global_K10.0_TNA,9675,1000,0.5,mofk,global,10.0,,0.15118330001132563,33.25627990000066,0.10946700000204146,2.0459574999986216,1.0,1.0,0.9999999995,1.0,1.0,0.9999999995,0.5,0.48691125934910046,0.04332592143386549,0.5602322202050045,0.48691125934910046,0.04332592143386549,0.5602322202050045,0.5,False,21,25,999,999,0.6146496815286624,1.0,global,10.0
leukemia_all_indc_seed9675_N1000_tr50_mofk_global_K10.0_TNA__sklearn_extcv,9675,1000,0.5,,,,,0.15118330001132563,54.3309608999989,,30.06550870000501,1.0,0.9968152866242037,,,,,0.5,0.4869196819621319,0.014385823057745384,,,,,0.5,,,,,,,,sklearn_extcv,
leukemia_all_indc_seed6542_N1000_tr50_mofk_global_K10.0_TNA,6542,1000,0.5,mofk,global,10.0,,0.1464443000149913,32.50644509997801,0.12019479999435134,2.1181347999954596,1.0,1.0,0.9999999995,1.0,1.0,0.9999999995,0.5,0.5098755411255411,0.02888257575757569,0.5568513115502554,0.5098755411255411,0.02888257575757569,0.5568513115502554,0.5,False,4,8,999,999,0.11217948717948723,1.0,global,10.0
leukemia_all_indc_seed6542_N1000_tr50_mofk_global_K10.0_TNA__sklearn_extcv,6542,1000,0.5,,,,,0.1464443000149913,56.70910680000088,,30.111355899978662,1.0,0.983974358974359,,,,,0.5,0.5157941017316018,0.02922077922077926,,,,,0.5,,,,,,,,sklearn_extcv,
